Date,Max_Temp,Min_Temp,Weather,Wind_Direction,Wind_Force
01/06/2018,33,26,light to moderate rain,S.E.,2
02/06/2018,32,25,rainy,E.,2
03/06/2018,33,25,overcast,S.E.,2
04/06/2018,32,24,light to moderate rain,E.,2
05/06/2018,30,24,moderate to heavy rain,E.,3
06/06/2018,28,24,Light to heavy rain,E.,3
07/06/2018,27,24,Light to heavy rain,E.,3
08/06/2018,26,24,Moderate to stormy rain,E.,4
09/06/2018,29,24,cloudy,N.W.,3
10/06/2018,33,25,cloudy,N.,3
11/06/2018,34,25,cloudy,N.E.,2
12/06/2018,30,24,light rain,S.E.,2
13/06/2018,26,24,overcast,N.E.,3
14/06/2018,29,24,cloudy,N.,3
15/06/2018,29,24,overcast,N.E.,3
16/06/2018,34,25,light rain,E.,2
17/06/2018,34,25,cloudy,S.,2
18/06/2018,32,26,light rain,S.W.,3
19/06/2018,32,26,overcast,S.W.,3
20/06/2018,34,26,overcast,S.,3
21/06/2018,34,28,light rain,S.W.,3
22/06/2018,31,26,light to moderate rain,S.,3
23/06/2018,30,25,light to moderate rain,S.,3
24/06/2018,32,26,overcast,S.E.,4
25/06/2018,31,26,light rain,S.E.,3
26/06/2018,32,25,sunny,S.,2
27/06/2018,33,26,cloudy,S.,2
28/06/2018,35,26,cloudy,S.W.,2
29/06/2018,34,27,cloudy,S.W.,3
30/06/2018,34,28,Cloudy to light rain,S.W.,3
